subset	system	n	covered	orig_correct	overlay_correct	orig_acc	overlay_acc	orig_prec_cov	overlay_prec_cov	delta_acc_pp
full500	Stage-1+2 GPT-4o (original)	498	488	322	325	0.6466	0.6526	0.6598	0.6660	+0.60
full500	Stage-1+2 Sonnet 4.6	498	488	317	323	0.6365	0.6486	0.6496	0.6619	+1.20
full500	Stage-1+2 Opus 4.7	498	461	300	308	0.6024	0.6185	0.6508	0.6681	+1.61
full500	MetaMuse-GPT-4o	498	198	140	142	0.2811	0.2851	0.7071	0.7172	+0.40
reviewed58	Stage-1+2 GPT-4o (original)	58	57	34	37	0.5862	0.6379	0.5965	0.6491	+5.17
reviewed58	Stage-1+2 Sonnet 4.6	58	56	32	38	0.5517	0.6552	0.5714	0.6786	+10.34
reviewed58	Stage-1+2 Opus 4.7	58	57	27	35	0.4655	0.6034	0.4737	0.6140	+13.79
reviewed58	MetaMuse-GPT-4o	58	18	6	8	0.1034	0.1379	0.3333	0.4444	+3.45
